loan_id,origination_date,borrower_id,loan_amount,interest_rate,loan_term_months,credit_score,debt_to_income_ratio,loan_purpose,loan_status,annual_income,state
45,2024-08-17,1794,44220.19,11.31,60,660.0,0.1988,Home Improvement,Current,38203.7,New York
46,2019-10-26,2240,44645.5,9.91,84,715.0,0.2303,Personal,Current,39333.32,PA
47,2024-03-24,1967,77501.84,10.38,36,,0.097,Home Improvement,Delinquent,44578.34,WA
48,2016-02-29,1865,190679.41,13.27,36,684.0,0.3801,Business,Paid Off,340135.18,PA
49,2018-02-03,760,337857.25,18.02,60,608.0,0.199,Business,Paid Off,44415.12,MI
50,2024-01-16,2029,42740.78,5.21,60,846.0,0.4441,Personal,Current,35323.91,MD
51,2018-09-06,1303,70715.26,18.57,60,608.0,0.1934,Education,Delinquent,99416.68,MA
52,2024-03-29,1778,237341.75,12.95,84,,0.3127,Business,Current,40268.02,DE
53,2019-03-01,1095,42875.57,20.51,120,601.0,0.3622,Home Improvement,Delinquent,30551.32,WA
54,2021-11-21,1730,63017.39,18.37,36,570.0,0.0826,Home Improvement,Default,33616.6,NJ
55,2017-03-02,1245,421253.86,19.2,84,603.0,0.4207,Business,Current,644584.27,NY
56,2021-02-20,1136,64859.23,13.27,36,597.0,0.3992,Home Improvement,Current,472424.23,PA
57,2025-08-30,2018,54971.13,16.56,36,560.0,0.4316,Auto,Delinquent,28342.41,MD
58,2022-06-24,240,75427.29,12.44,120,680.0,0.3672,Home Improvement,Delinquent,70435.28,MN
59,2018-03-22,1222,43248.5,10.76,36,696.0,0.228,Auto,Default,34100.12,PA
60,2019-04-22,1773,50779.5,9.79,120,712.0,0.1867,Home Improvement,Current,32685.96,GA
61,2015-10-04,2294,32686.31,12.93,60,539.0,0.3732,Auto,Current,534493.77,NJ
62,2021-05-25,1406,36333.87,19.29,120,611.0,0.2364,Home Improvement,Paid Off,40854.7,MD
63,2022-02-12,2101,59684.37,12.02,84,684.0,0.0927,Home Improvement,Current,44073.05,DE
64,2015-09-19,701,30594.13,20.61,60,593.0,0.2872,Auto,Default,41759.01,NC
65,2022-05-05,813,64031.65,19.17,84,598.0,0.4629,Home Improvement,Current,25087.19,FL
66,2017-01-23,290,38184.51,7.08,84,708.0,0.2114,Home Improvement,Paid Off,127446.56,NJ
67,2024-09-13,219,23852.43,10.19,84,657.0,0.4874,Personal,Paid Off,32624.87,OH
68,2023-08-16,44,23391.77,8.8,120,717.0,0.0953,Auto,Current,561411.02,OH
69,2019-08-28,720,52507.9,14.9,60,613.0,0.5349,Home Improvement,Current,25642.72,NY
70,2018-03-18,1413,45618.33,13.43,36,603.0,0.3267,Auto,Current,39416.21,NY
71,2022-09-01,1725,20126.13,7.82,60,726.0,0.2561,Personal,Default,29345.61,TX
72,2020-03-06,1638,86195.97,7.27,60,756.0,0.3301,Education,Current,119518.11,VA
73,2017-05-09,1178,23634.0,17.27,120,591.0,0.1734,Home Improvement,Current,42512.59,PA
74,2019-08-01,1363,48506.89,12.55,120,681.0,0.3308,Auto,Current,231015.68,PA
75,2023-08-18,213,2771.73,8.41,84,723.0,0.5147,Personal,Current,44533.75,VA
76,2018-12-28,681,39979.65,12.93,60,,0.3528,Auto,Paid Off,287421.87,PA
77,2024-11-29,1883,35665.18,9.66,84,667.0,0.1677,Home Improvement,Current,59552.47,VA
78,2020-11-21,846,16396.8,15.0,60,626.0,0.3654,Auto,Paid Off,30578.1,DE
79,2021-08-26,2052,67688.4,17.57,60,634.0,0.1964,Home Improvement,Paid Off,24218.85,MD
80,2020-06-25,1814,15514.35,14.76,84,649.0,0.3624,Personal,Current,510098.97,NY
81,2023-01-20,1785,19688.68,9.92,84,741.0,0.2224,Home Improvement,Delinquent,28390.88,PA
82,2016-05-10,1226,34374.28,18.83,84,598.0,0.428,Personal,Current,378886.67,NJ
83,2023-05-18,1371,69804.32,8.08,84,724.0,0.1002,Education,Current,50857.88,CA
84,2020-03-04,2374,35517.05,5.29,36,754.0,0.5118,Home Improvement,Current,111544.95,NC
85,2016-10-24,1135,48577.23,17.66,60,649.0,0.4614,Auto,Delinquent,150634.0,NJ
86,2021-05-13,2004,321467.92,10.7,60,658.0,0.0937,Business,Paid Off,31634.41,DE
87,2020-05-06,411,479664.29,5.62,36,834.0,0.1841,Business,Paid Off,50992.81,DE
88,2018-02-16,1318,22318.4,5.14,84,841.0,0.1782,Education,Current,29908.68,CT
89,2017-03-19,2196,422949.57,5.62,36,766.0,0.5348,Business,Current,32698.57,WA
90,2018-05-16,2512,50561.88,6.96,60,816.0,0.4915,Home Improvement,Current,38786.25,NY
91,2022-12-26,2263,386113.55,14.52,120,585.0,0.1211,Business,Delinquent,37499.03,NY
92,2022-05-22,529,27071.41,20.32,84,606.0,0.0806,Home Improvement,Current,37752.14,DE
93,2020-10-07,1256,31940.81,9.49,120,666.0,0.4936,Personal,Current,28985.29,PA
94,2016-05-19,2507,31310.47,12.88,36,603.0,0.1827,Business,Current,24752.61,CT
95,2021-05-20,2077,3020.06,6.82,120,827.0,0.4611,Personal,Current,61398.85,CA
96,2019-12-10,1499,35277.41,8.36,36,725.0,0.4121,Personal,Current,35661.51,NJ
97,2020-02-07,297,24955.56,19.65,60,540.0,0.4741,Personal,Paid Off,38398.28,DE
98,2019-03-02,2100,20648.83,13.07,84,692.0,0.2277,Auto,Current,34023.45,WA
99,2023-08-06,369,48782.7,10.38,84,,0.1016,Business,Paid Off,58897.37,NJ
100,2021-04-28,1619,79158.39,9.96,36,696.0,0.4269,Business,Current,26385.53,TX
101,2022-10-28,283,51819.97,9.72,60,700.0,0.1463,Education,Delinquent,266520.6,MD
102,2018-09-28,2094,54837.78,7.16,60,732.0,0.2497,Home Improvement,Current,38458.5,FL
103,2020-06-01,545,13943.05,20.7,84,590.0,0.1883,Auto,Current,392530.19,TX
104,2024-04-23,1188,73551.1,12.09,84,699.0,0.3305,Home Improvement,Current,25767.15,MI
105,2018-02-11,319,17780.14,13.3,84,577.0,0.3769,Personal,Default,29463.09,NJ
106,2019-04-22,835,37770.64,7.22,84,718.0,0.283,Personal,Current,622756.46,MI
107,2021-12-20,2259,14137.36,19.43,60,586.0,0.175,Education,Current,38853.37,NY
108,2016-05-01,2309,11600.63,17.79,60,614.0,0.2169,Auto,Current,634383.65,New York
109,2018-04-24,1856,72339.72,12.9,84,649.0,0.2654,Education,Delinquent,26314.49,CA
110,2023-02-23,1164,73667.13,17.34,120,544.0,0.2121,Home Improvement,Paid Off,28902.16,MA
111,2023-01-28,496,29791.07,11.0,84,668.0,0.2807,Auto,Current,24402.96,GA
112,2019-02-13,840,3475.04,13.28,36,671.0,0.4051,Personal,Current,35706.43,CA
113,2016-11-07,1984,9700.23,5.79,60,809.0,0.549,Auto,Current,48503.87,VA
114,2023-01-05,1952,38092.8,14.71,60,608.0,0.5283,Home Improvement,Delinquent,39312.73,NY
115,2016-08-17,94,37147.3,9.45,84,677.0,0.2652,Auto,Current,48357.98,NC
116,2017-11-07,2185,36452.85,12.5,84,684.0,0.283,Personal,Default,37408.99,VA
117,2020-05-02,434,42810.08,14.52,60,613.0,0.0976,Auto,Paid Off,25727.08,IL
118,2023-03-04,197,69128.68,16.47,60,607.0,0.1827,Home Improvement,Paid Off,44304.64,DE
119,2023-05-16,1147,55306.22,6.78,36,747.0,0.4828,Auto,Delinquent,34584.59,PA
120,2023-01-29,2329,39089.41,15.44,60,608.0,0.1442,Auto,Current,26724.43,CA
121,2023-12-09,938,52902.89,4.9,60,801.0,0.3083,Auto,Current,163325.02,NJ
122,2021-09-23,255,461294.08,12.25,84,648.0,0.4665,Business,Delinquent,29709.86,NJ
123,2023-08-21,1481,18572.02,9.34,60,654.0,0.3481,Auto,Current,24103.61,PA
124,2015-07-05,1667,32305.12,8.82,36,743.0,0.303,Home Improvement,Paid Off,40825.96,NJ
125,2019-01-07,1491,34395.2,14.19,60,601.0,0.1324,Auto,Paid Off,34859.66,FL
126,2022-08-01,169,45113.96,5.23,84,830.0,0.3595,Auto,Current,389581.45,NJ
127,2020-05-16,2060,35070.96,5.3,60,823.0,0.4478,Home Improvement,Current,78248.76,NJ
128,2017-11-15,1911,72610.16,12.54,36,596.0,0.4131,Home Improvement,Paid Off,629218.34,PA
129,2017-10-10,1755,30805.9,4.79,84,793.0,0.4362,Personal,Current,39051.32,MA
130,2017-02-06,174,76203.55,9.83,60,673.0,0.2133,Business,Current,27192.86,MN
131,2016-02-17,1384,49931.85,5.01,60,825.0,0.4634,Home Improvement,Current,53185.09,IL
132,2024-07-23,979,24655.7,7.22,60,712.0,0.1051,Personal,Current,38317.62,NC
133,2024-10-23,1242,16390.28,7.86,36,741.0,0.1217,Home Improvement,Paid Off,38305.97,CT
134,2020-04-08,611,27650.44,5.09,60,829.0,0.1641,Home Improvement,Current,270638.68,NY
135,2017-07-29,602,20608.23,8.28,60,745.0,0.3099,Auto,Current,113310.94,PA
136,2024-08-06,2395,72737.26,19.91,60,586.0,0.1011,Home Improvement,Paid Off,28030.02,NJ
137,2016-01-04,1519,265044.7,7.88,60,733.0,0.458,Business,Current,36317.3,DE
138,2025-02-03,1943,21832.05,14.62,60,612.0,0.1318,Personal,Current,354261.6,IL
139,2016-12-24,436,32411.37,20.17,60,634.0,0.4907,Personal,Paid Off,162873.37,MD
140,2023-11-08,2207,86041.06,9.21,36,698.0,0.2341,Education,Current,267415.51,NJ
141,2022-12-21,1872,57514.51,17.16,60,548.0,0.2641,Home Improvement,Default,47559.08,PA
142,2022-11-03,1100,13523.13,20.92,36,595.0,0.5391,Personal,Current,29362.16,PA
143,2023-07-24,2020,9476.78,8.81,36,722.0,0.2033,Personal,Current,528895.69,WA
144,2024-03-11,1302,71361.75,8.19,60,744.0,0.4941,Home Improvement,Current,47259.11,NJ
145,2021-09-27,783,16413.35,6.88,60,714.0,0.3036,Home Improvement,Paid Off,57470.64,NY
146,2023-08-15,1941,49755.9,8.4,36,714.0,0.3779,Personal,Current,28004.51,PA
147,2020-05-10,1682,33732.47,6.83,36,799.0,0.175,Auto,Current,61376.04,NJ
148,2022-10-28,176,8658.04,5.63,84,836.0,0.1723,Personal,Current,399058.38,TX
149,2022-06-10,1659,337264.85,6.72,36,786.0,0.1909,Business,Current,50165.12,NY
150,2018-11-27,2498,30010.7,7.81,84,726.0,0.4722,Auto,Current,39702.53,TX
151,2015-04-26,2351,15605.14,8.19,60,745.0,0.2807,Auto,Current,58721.35,DE
152,2021-08-08,1851,34959.28,12.1,84,,0.2039,Auto,Default,36245.51,NY
153,2018-03-18,1732,16898.14,12.1,36,692.0,0.181,Personal,Current,38666.65,NC
154,2022-01-22,247,47710.82,12.59,60,602.0,0.2311,Home Improvement,Current,31475.03,GA
155,2024-08-27,1850,28470.87,15.74,60,608.0,0.4852,Home Improvement,Current,410877.38,PA
156,2023-02-12,597,44670.63,7.38,60,753.0,0.2545,Personal,Current,24659.65,NJ
157,2019-04-06,943,73114.92,16.49,60,504.0,0.4117,Home Improvement,Default,31480.8,NY
158,2021-06-30,2019,59402.07,12.38,60,642.0,0.3023,Auto,Current,44485.83,CA
159,2024-03-04,212,44864.2,6.14,120,794.0,0.3573,Home Improvement,Current,277128.66,MA
160,2023-07-25,1887,8169.71,7.04,60,753.0,0.4819,Personal,Current,28169.95,PA
161,2023-11-29,2442,8135.91,15.55,36,601.0,0.0908,Auto,Paid Off,27594.2,NY
162,2021-06-16,860,66759.08,6.67,36,735.0,0.46,Home Improvement,Delinquent,37078.19,CA
163,2023-08-03,644,70474.58,7.55,36,718.0,0.2417,Education,Current,322333.22,New Jersey
164,2016-09-29,2439,46201.15,16.51,84,585.0,0.436,Auto,Paid Off,24763.23,NJ
165,2020-12-20,1971,337468.76,9.35,60,732.0,0.3814,Business,Current,45990.95,Pennsylvania
166,2018-08-02,917,9081.14,10.0,60,683.0,0.1662,Auto,Current,40572.75,TX
167,2021-02-17,179,37378.61,7.29,36,715.0,0.0949,Home Improvement,Paid Off,45023.74,NJ
168,2019-09-24,112,10580.73,9.39,84,705.0,0.4374,Auto,Current,174081.68,NC
169,2019-09-12,2297,169492.25,9.73,60,680.0,0.0936,Business,Current,247982.23,NJ
170,2024-08-03,1254,75896.88,19.6,84,612.0,0.2696,Education,Delinquent,37376.06,VA
171,2024-02-21,1929,39915.72,17.89,84,630.0,0.3281,Personal,Current,470927.93,TX
172,2021-08-27,2349,32374.07,19.16,84,621.0,0.237,Home Improvement,Delinquent,33673.46,PA
173,2022-08-09,2165,38639.87,5.27,120,778.0,0.4354,Auto,Current,30565.24,VA
174,2016-11-01,1098,28854.96,10.93,36,651.0,0.1084,Personal,Current,503762.73,MD
175,2019-04-08,1591,37102.44,5.4,84,788.0,0.12,Education,Current,244738.12,PA
176,2020-04-14,1768,24593.0,8.56,120,710.0,0.4777,Home Improvement,Current,611899.95,NY
177,2018-01-07,1640,20026.86,6.79,36,735.0,0.4088,Home Improvement,Default,32523.44,GA
178,2018-04-21,2261,53625.4,12.33,120,614.0,0.3997,Auto,Current,31556.01,PA
179,2019-12-09,1963,28833.51,6.65,60,834.0,0.1363,Auto,Current,150394.41,NC
180,2019-07-04,1581,55619.17,18.16,60,590.0,0.1552,Home Improvement,Current,131768.0,MI
181,2023-02-22,2049,61074.32,7.31,120,744.0,0.1657,Home Improvement,Default,219170.39,NJ
182,2018-02-16,1361,44197.2,18.14,60,520.0,0.495,Personal,Current,37598.18,CA
183,2019-12-27,462,35411.55,15.48,120,610.0,0.2676,Personal,Delinquent,132853.33,MN
184,2023-01-29,953,11511.08,20.21,36,608.0,0.1246,Personal,Current,491073.05,NY
185,2024-12-06,1702,20192.53,6.89,120,753.0,0.1827,Auto,Delinquent,40145.85,MD
186,2020-08-06,1704,54727.22,17.12,60,567.0,0.1316,Auto,Current,411855.23,California
187,2023-02-08,189,69151.1,13.34,84,685.0,0.1682,Home Improvement,Current,40819.07,NJ
188,2017-08-12,1961,457048.71,9.02,84,720.0,0.297,Business,Paid Off,43621.88,NC
189,2017-08-19,1913,206159.98,12.38,60,650.0,0.251,Business,Current,29619.84,TX
190,2021-06-30,867,363564.97,6.44,120,830.0,0.383,Business,Default,33227.38,NJ
191,2020-07-19,1846,51295.51,14.07,60,523.0,0.3248,Auto,Default,30436.24,NJ
192,2020-03-18,1739,18440.17,4.89,84,757.0,0.2199,Auto,Current,530880.75,CA
193,2017-01-14,863,31110.15,12.98,120,,0.3959,Business,Current,370676.56,IL
194,2016-02-27,875,45539.58,20.98,84,601.0,0.4089,Personal,Current,32088.21,NY
195,2024-12-10,519,4729.49,18.35,36,596.0,0.534,Personal,Current,351923.21,IL
196,2023-05-29,260,12640.14,6.29,36,762.0,0.5073,Home Improvement,Paid Off,357425.21,PA
197,2018-12-23,2222,10725.59,6.55,84,771.0,0.1968,Auto,Current,26555.1,NJ
198,2015-12-22,811,50679.28,6.93,60,742.0,0.2733,Auto,Current,31588.57,VA
199,2021-06-12,1072,38609.5,4.71,120,757.0,0.3153,Auto,Current,56855.92,NY
200,2019-10-15,2299,11430.26,19.77,60,583.0,0.0842,Auto,Delinquent,33416.51,NJ
201,2021-02-14,603,41035.71,17.03,84,625.0,0.5108,Home Improvement,Default,35160.2,NY
202,2022-05-13,1395,15826.02,12.9,60,622.0,0.3174,Education,Current,47533.33,NJ
203,2017-12-03,234,8184.68,7.89,60,720.0,0.5402,Auto,Paid Off,33065.43,NJ
204,2021-08-14,1103,471743.4,16.9,36,633.0,0.31,Business,Current,110200.3,MA
205,2016-10-28,2515,430463.76,17.22,36,635.0,0.1111,Business,Paid Off,26596.81,PA
206,2018-12-21,1193,35648.11,8.13,36,720.0,0.1011,Auto,Current,27108.6,NY
207,2018-05-12,2383,10332.45,12.1,60,595.0,0.4572,Auto,Current,408901.76,MD
208,2021-05-15,52,35389.82,10.02,36,,0.2701,Auto,Current,32579.3,PA
209,2022-02-25,522,78767.81,13.06,84,584.0,0.3814,Home Improvement,Current,125622.47,IL
210,2021-05-09,464,134554.46,10.49,120,650.0,0.136,Business,Current,33453.91,VA
211,2025-01-11,1766,58931.42,7.36,84,712.0,0.0941,Home Improvement,Paid Off,27074.32,NY
212,2021-05-27,1000,22491.31,6.3,120,816.0,0.2808,Auto,Paid Off,33116.74,VA
213,2022-02-09,1518,36834.78,17.74,120,531.0,0.0992,Education,Delinquent,55378.2,PA
214,2016-01-31,1536,71654.68,7.89,36,717.0,0.0968,Home Improvement,Paid Off,36517.47,GA
215,2019-06-08,2255,52009.57,6.98,60,731.0,0.2939,Home Improvement,Paid Off,130572.01,NJ
216,2024-06-23,2492,110362.51,9.56,60,738.0,0.1763,Business,Current,472351.93,MI
217,2015-12-12,97,57806.0,7.36,60,781.0,0.3328,Home Improvement,Current,37774.59,WA
218,2018-07-31,706,40325.15,15.61,60,575.0,0.3834,Auto,Current,25840.09,CT
219,2022-02-01,1986,26108.06,12.03,84,594.0,0.2874,Home Improvement,Current,38683.42,IL
220,2016-08-03,1062,56020.05,5.02,60,758.0,0.4235,Auto,Current,312014.86,NJ
221,2018-04-17,2471,59439.4,15.81,36,581.0,0.3208,Home Improvement,Current,234071.06,WA
222,2018-10-04,614,54335.01,9.07,84,720.0,0.1723,Home Improvement,Current,39190.33,IL
223,2018-07-09,651,29692.27,9.15,36,712.0,0.085,Auto,Current,27174.33,MD
224,2020-09-23,1115,6248.98,8.43,60,713.0,0.1995,Personal,Current,38547.59,NC
225,2024-01-02,408,38975.09,8.29,120,743.0,0.4755,Personal,Paid Off,141487.64,MD
226,2022-05-07,924,37573.57,15.3,60,611.0,0.2451,Home Improvement,Paid Off,84088.15,Pennsylvania
227,2019-03-12,1378,35757.06,7.47,120,712.0,0.1801,Auto,Paid Off,41391.4,GA
228,2020-05-23,1869,54988.8,12.09,60,610.0,0.517,Home Improvement,Paid Off,324574.94,NJ
229,2021-02-20,573,34615.94,12.89,84,683.0,0.2344,Auto,Paid Off,179732.16,PA
230,2022-06-29,2065,50160.27,13.18,60,680.0,0.2138,Auto,Current,595141.55,MI
231,2017-12-24,1613,15297.19,14.09,60,585.0,0.3988,Auto,Current,30298.64,PA
232,2020-08-27,1719,19597.38,18.95,60,603.0,0.4879,Home Improvement,Current,82968.36,NJ
233,2016-05-21,2346,54463.26,10.66,60,678.0,0.4925,Home Improvement,Current,88386.59,VA
234,2016-10-03,830,46393.9,10.04,60,652.0,0.3715,Home Improvement,Current,29450.68,Florida
235,2021-02-02,508,34415.31,6.01,60,758.0,0.3052,Home Improvement,Current,36414.42,VA
236,2021-04-05,1539,78889.95,14.68,60,605.0,0.3216,Home Improvement,Current,33647.74,NJ
237,2018-02-07,1379,47573.68,18.14,60,640.0,0.3687,Auto,Current,367238.51,GA
238,2016-01-24,891,23761.19,17.59,60,615.0,0.1689,Auto,Current,30969.89,GA
239,2019-02-05,458,42120.48,9.37,36,667.0,0.4874,Home Improvement,Delinquent,36536.03,MN
240,2016-02-09,889,35475.56,7.93,60,706.0,0.3404,Personal,Paid Off,29858.82,PA
241,2022-04-19,1509,29361.29,8.07,36,705.0,0.465,Education,Current,399314.51,MD
242,2016-10-31,1804,23983.93,12.98,84,696.0,0.1951,Personal,Current,395875.73,PA
243,2016-08-21,1701,8194.79,7.64,120,716.0,0.3917,Auto,Current,32836.45,PA
244,2021-11-09,742,34323.78,9.38,84,697.0,0.2633,Home Improvement,Paid Off,29827.85,PA
245,2017-11-06,211,365958.68,5.43,60,759.0,0.5434,Business,Paid Off,29565.19,WA
246,2016-04-21,650,5535.21,20.26,84,591.0,0.1955,Personal,Current,34212.01,MN
247,2022-12-20,820,83679.83,10.7,36,679.0,0.5257,Education,Paid Off,38249.62,PA
248,2024-12-13,743,59889.0,9.98,120,681.0,0.2812,Auto,Paid Off,35078.82,NJ
249,2021-02-01,839,12543.51,18.21,120,649.0,0.4298,Home Improvement,Paid Off,29558.75,NY
250,2020-10-10,1335,18744.87,10.55,84,666.0,0.233,Personal,Current,417897.84,MA
251,2015-11-07,1323,48393.61,9.12,120,656.0,0.3734,Home Improvement,Paid Off,40550.07,NJ
252,2022-03-20,1504,25148.64,7.07,60,719.0,0.4695,Education,Paid Off,572612.1,NJ
253,2020-10-12,1028,64582.84,12.73,84,590.0,0.5256,Home Improvement,Current,37463.02,CO
254,2019-09-13,441,13736.33,9.21,60,688.0,0.5471,Personal,Current,41368.99,GA
255,2020-09-25,1451,52824.93,9.33,120,741.0,0.4977,Auto,Current,603647.2,MD
256,2022-03-20,415,22767.22,12.8,120,646.0,0.3389,Personal,Delinquent,79583.77,MI
257,2018-02-25,2319,56353.17,13.1,60,679.0,0.3897,Auto,Current,50093.59,FL
258,2018-10-25,1018,62442.73,14.2,60,531.0,0.5035,Education,Delinquent,495402.56,CA
259,2019-12-25,2448,63779.72,12.78,120,585.0,0.5484,Education,Paid Off,29773.0,PA
260,2023-08-30,2037,162852.56,14.97,60,592.0,0.3562,Business,Current,40894.13,PA
261,2019-02-26,1832,15254.42,16.62,36,502.0,0.0913,Auto,Current,520164.48,NY
262,2017-06-14,2372,49038.97,6.4,36,756.0,0.548,Home Improvement,Current,30529.29,PA
263,2018-09-04,299,59346.64,8.97,60,711.0,0.5367,Auto,Current,440619.27,PA
264,2015-09-24,1806,379823.12,8.48,120,715.0,0.0958,Business,Current,34085.38,NY
265,2017-06-21,2276,8716.68,9.05,60,667.0,0.3744,Personal,Delinquent,365949.66,FL
266,2016-09-08,1515,39553.35,13.98,60,636.0,0.2547,Home Improvement,Current,35060.88,VA
267,2020-03-24,1286,20104.59,9.33,84,711.0,0.0824,Auto,Current,29130.34,TX
268,2017-01-02,523,49937.51,7.09,60,831.0,0.4152,Personal,Current,43557.93,PA
269,2023-09-28,1317,61341.26,16.08,84,610.0,0.2409,Home Improvement,Current,32791.73,CT
270,2022-09-17,465,19086.96,16.44,60,604.0,0.279,Personal,Current,35922.05,OH
271,2023-03-02,238,9496.64,16.44,36,642.0,0.3737,Auto,Delinquent,55703.79,CO
272,2022-04-23,110,45880.61,19.71,120,637.0,0.1054,Auto,Paid Off,60290.45,PA
273,2023-11-11,658,38387.52,18.29,120,601.0,0.4293,Home Improvement,Paid Off,36420.86,NJ
274,2024-08-20,1870,25319.44,13.73,60,618.0,0.1547,Personal,Current,36912.55,CO
275,2018-07-15,2270,43525.53,7.71,84,744.0,0.4717,Home Improvement,Current,471879.53,NY
276,2021-06-11,253,70674.18,8.25,36,713.0,0.385,Home Improvement,Current,347794.28,NY
277,2023-06-28,1201,45636.1,20.17,36,601.0,0.5025,Home Improvement,Paid Off,31791.11,IL
278,2018-07-08,2203,24978.38,9.63,120,720.0,0.3653,Personal,Current,31938.3,TX
279,2020-05-30,1918,53226.12,14.73,120,603.0,0.3611,Auto,Paid Off,32899.27,MI
280,2016-09-18,757,14513.79,9.58,36,674.0,0.3726,Auto,Current,525319.81,Florida
281,2017-03-20,679,27476.98,13.1,120,668.0,0.2591,Personal,Current,649017.03,FL
282,2018-01-10,472,50145.55,18.29,60,646.0,0.1829,Auto,Paid Off,31020.3,OH
283,2022-08-24,1886,25172.08,4.51,84,804.0,0.5309,Home Improvement,Current,42530.11,NY
284,2017-05-01,1019,74878.59,12.84,60,644.0,0.4666,Home Improvement,Current,369704.42,DE
285,2020-04-13,1889,22757.23,10.76,60,698.0,0.1576,Personal,Paid Off,28889.71,PA
286,2023-09-05,1124,27246.3,11.43,36,659.0,0.1956,Personal,Current,33046.54,NY
